,SEQNOS,DESCRIPTION_OF_INCIDENT,TYPE_OF_INCIDENT,INCIDENT_CAUSE,INCIDENT_DATE_TIME,INCIDENT_DTG,INCIDENT_LOCATION,LOCATION_ADDRESS,LOCATION_STREET1,LOCATION_STREET2,LOCATION_NEAREST_CITY,LOCATION_STATE,LOCATION_COUNTY,LOCATION_ZIP,DISTANCE_FROM_CITY,DISTANCE_UNITS,DIRECTION_FROM_CITY,LAT_DEG,LAT_MIN,LAT_SEC,LAT_QUAD,LONG_DEG,LONG_MIN,LONG_SEC,LONG_QUAD,LOCATION_SECTION,LOCATION_TOWNSHIP,LOCATION_RANGE,POTENTIAL_FLAG,DATE_TIME_RECEIVED,DATE_TIME_COMPLETE,CALLTYPE,RESPONSIBLE_COMPANY,RESPONSIBLE_ORG_TYPE,RESPONSIBLE_CITY,RESPONSIBLE_STATE,RESPONSIBLE_ZIP,SOURCE,AIRCRAFT_TYPE,AIRCRAFT_MODEL,AIRCRAFT_ID,AIRCRAFT_FUEL_CAPACITY,AIRCRAFT_FUEL_CAPACITY_UNITS,AIRCRAFT_FUEL_ON_BOARD,AIRCRAFT_FUEL_O_B_UNITS,AIRCRAFT_SPOT_NUMBER,AIRCRAFT_HANGER,AIRCRAFT_RUNWAY_NUMBER,ROAD_MILE_MARKER,BUILDING_ID,TYPE_OF_FIXED_OBJECT,POWER_GENERATING_FACILITY,GENERATING_CAPACITY,TYPE_OF_FUEL,NPDES,NPDES_COMPLIANCE,PIPELINE_TYPE,DOT_REGULATED,PIPELINE_ABOVE_GROUND,EXPOSED_UNDERWATER,PIPELINE_COVERED,RAILROAD_HOTLINE,GRADE_CROSSING,LOCATION_SUBDIVISION,RAILROAD_MILEPOST,TYPE_VEHICLE_INVOLVED,CROSSING_DEVICE_TYPE,DEVICE_OPERATIONAL,DOT_CROSSING_NUMBER,BRAKE_FAILURE,DESCRIPTION_OF_TANK,TANK_ABOVE_GROUND,TRANSPORTABLE_CONTAINER,TANK_REGULATED,TANK_REGULATED_BY,TANK_ID,CAPACITY_OF_TANK,CAPACITY_OF_TANK_UNITS,ACTUAL_AMOUNT,ACTUAL_AMOUNT_UNITS,PLATFORM_RIG_NAME,PLATFORM_LETTER,LOCATION_AREAID,LOCATION_BLOCKID,OCSG_NUMBER,OCSP_NUMBER,STATE_LEASE_NUMBER,PIER_DOCK_NUMBER,BERTH_SLIP_NUMBER,CONTINUOUS_RELEASE_TYPE,INITIAL_CONTINUOUS_RELEASE_NO,CONTINUOUS_RELEASE_PERMIT,ALLISION,TYPE_OF_STRUCTURE,STRUCTURE_NAME,STRUCTURE_OPERATIONAL,AIRBAG_DEPLOYED,DATE_TIME_NORMAL_SERVICE,SERVICE_DISRUPTION_TIME,SERVICE_DISRUPTION_UNITS,TRANSIT_BUS_FLAG,CR_BEGIN_DATE,CR_END_DATE,CR_CHANGE_DATE,FBI_CONTACT,FBI_CONTACT_DATE_TIME,SUB_PART_C_TESTING_REQ,CONDUCTOR_TESTING,ENGINEER_TESTING,TRAINMAN_TESTING,YARD_FOREMAN_TESTING,RCL_OPERATOR_TESTING,BRAKEMAN_TESTING,TRAIN_DISPATCHER_TESTING,SIGNALMAN_TESTING,OTHER_EMPLOYEE_TESTING,UNKNOWN_TESTING,PASSENGER_HANDLING,PASSENGER_ROUTE,PASSENGER_DELAY,FIRE_INVOLVED,FIRE_EXTINGUISHED,ANY_EVACUATIONS,NUMBER_EVACUATED,WHO_EVACUATED,RADIUS_OF_EVACUATION,ANY_INJURIES,NUMBER_INJURED,NUMBER_HOSPITALIZED,ANY_FATALITIES,NUMBER_FATALITIES,ANY_DAMAGES,DAMAGE_AMOUNT,AIR_CORRIDOR_CLOSED,AIR_CORRIDOR_DESC,AIR_CLOSURE_TIME,WATERWAY_CLOSED,WATERWAY_DESC,WATERWAY_CLOSURE_TIME,ROAD_CLOSED,ROAD_DESC,ROAD_CLOSURE_TIME,CLOSURE_DIRECTION,MAJOR_ARTERY,TRACK_CLOSED,TRACK_DESC,TRACK_CLOSURE_TIME,MEDIA_INTEREST,MEDIUM_DESC,ADDITIONAL_MEDIUM_INFO,BODY_OF_WATER,TRIBUTARY_OF,NEAREST_RIVER_MILE_MAKER,RELEASE_SECURED,ESTIMATED_DURATION_OF_RELEASE,RELEASE_RATE,DESC_REMEDIAL_ACTION,STATE_AGENCY_ON_SCENE,STATE_AGENCY_REPORT_NUM,OTHER_AGENCY_NOTIFIED,WEATHER_CONDITIONS,AIR_TEMPERATURE,WIND_SPEED,WIND_DIRECTION,WATER_SUPPLY_CONTAMINATED,SHEEN_SIZE,SHEEN_COLOR,DIRECTION_OF_SHEEN_TRAVEL,SHEEN_ODOR_DESCRIPTION,WAVE_CONDITION,CURRENT_SPEED,CURRENT_DIRECTION,WATER_TEMPERATURE,TRACK_CLOSE_DIR,EMPL_FATALITY,PASS_FATALITY,COMMUNITY_IMPACT,WIND_SPEED_UNIT,EMPLOYEE_INJURIES,PASSENGER_INJURIES,OCCUPANT_FATALITY,CURRENT_SPEED_UNIT,ROAD_CLOSURE_UNITS,TRACK_CLOSURE_UNITS,SHEEN_SIZE_UNITS,ADDITIONAL_INFO,STATE_AGENCY_NOTIFIED,FEDERAL_AGENCY_NOTIFIED,NEAREST_RIVER_MILE_MARKER,SHEEN_SIZE_LENGTH,SHEEN_SIZE_LENGTH_UNITS,SHEEN_SIZE_WIDTH,SHEEN_SIZE_WIDTH_UNITS,OFFSHORE,DURATION_UNIT,RELEASE_RATE_UNIT,RELEASE_RATE_RATE,PASSENGERS_TRANSFERRED,new_latitude,new_longitude,new_latquad,new_longquad,new_street,geometry,address
775,1268721,THE CALLER IS REPORTING OILY PATCHES WERE SEEN OFF OF THE PLATFORM COMING FROM AN UNKNOWN LOCATION ON THE PLATFORM DUE TO A BAD GASKET ON PLATFORM PIPING. THE CALLER NOTES THAT THE PLATFORM HAS BEEN AWARE THAT THIS RELEASE IS ON GOING.,PLATFORM,UNKNOWN,1/11/2020 16:00,DISCOVERED,PLATFORM INCIDENT,ST-308 TARANTULA,,,,LA,GREEN CANYON AREA,,,,,,,,,,,,,,,,N,2020-01-14 19:45:00,2020-01-14 20:07:00,INC,FIELDWOOD ENERGY,PRIVATE ENTERPRISE,GRAND ISLE,LA,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,ST-308 TARANTULA,,GREEN CANYON AREA,,21685,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,WATER,GULF OF MEXICO,GULF OF MEXICO,,,N,4.0,,,,,,PARTLY CLOUDY,,,,U,,,,,0     CALM,,,,,,,,,,,,,,,,,,,,,,,,Y,DAY,,,NO,,,,,,POINT (nan nan),
776,1268722,CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 0.0011 GALLONS OF CRUDE OIL INTO THE GULF OF MEXICO AT THE INCIDENT LOCATION. DISCHARGE WAS FROM RESIDUAL OIL IN A SUB SEA PUMP THAT WAS BEING REPLACED.,VESSEL,OTHER,1/14/2020 14:00,OCCURRED,WALKER RIDGE 758,,,,,LA,WALKER RIDGE AREA,,,,,26.0,12.0,24.0,N,91.0,26.0,30.0,W,,,,N,2020-01-14 19:50:00,2020-01-14 20:00:00,INC,CHEVRON,PRIVATE ENTERPRISE,COVINGTON,LA,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,WALKER RIDGE AREA,758,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,GULF OF MEXCIO,GULF OF MEXCIO,,,Y,,,DISSIPATE NATURALLY,,,,,,,,U,,RAINBOW,,,,,,,,,,,,,,,,,,,,,,,100.0,FEET,20.0,FEET,Y,,,,NO,26.206666666666667,-91.44166666666668,N,W,,POINT (-91.44166666666668 26.20666666666667),
777,1268723,"CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 150 GALLONS OF MINERAL OIL (NON PCB) ONTO THE GROUND AND INTO A STORM DRAIN AT THE INCIDENT LOCATION . DISCHARGE WAS FROM A PAD MOUNTED TRANSFORMER THAT WAS STRUCK BY A VEHICLE, DUE TO OPERATOR ERROR.",FIXED,OPERATOR ERROR,1/14/2020 12:00,OCCURRED,,2300 WINDSOR COURT,,,ADDISON,IL,DU PAGE,,,,,,,,,,,,,,,,N,2020-01-14 20:04:00,2020-01-14 20:12:00,INC,COMMONWEALTH EDISON,PUBLIC UTILITY,OAK BROOKE TERRACE,IL,60181.0,TELEPHONE,,,,,,,,,,,,,TRANSFORMER,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,STORM DRAIN,STORM DRAIN,,,Y,,,"REPLACED TRANSFORMER, CONTRACTOR CLEANED UP THE AREA, PLACED ABSORBANT BOOM AND WILL MONITOR.",,H52020-0032,,,,,,U,,,,,,,,,,,,,,,,,,,,,,IEMA,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
778,1268724,"THE CALLER IS REPORTING AN ABANDONED PLEASURE CRAFT THAT IS ANCHORED AT THE INCIDENT LOCATION. THE CALLER NOTES THERE IS POTENTIAL FOR DIESEL, GAS, BATTERIES, UNKNOWN OIL, AND SEWAGE TO BE RELEASED INTO THE PACIFIC OCEAN.",VESSEL,UNKNOWN,1/14/2020 16:45,DISCOVERED,,LAT 33-43-9 N,LONG 118-07.0 W,,,CA,LOS ANGELES,,,,,,,,,,,,,,,,Y,2020-01-14 20:31:00,2020-01-14 20:44:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,NONE,WATER,LOS ALAMITOS BAY,,,,U,,,,,,,CLEAR,,10.0,,U,,,,,,,,,,,,,KNTS,,,,,,,,,,COAST GUARD ON SCENE,,,,,,N,,,,NO,,,,,,POINT (nan nan),
779,1268725,"CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 50 GALLONS OF GASOLINE ONTO THE GROUND AT THE INCIDENT LOCATION. DISCHARGE WAS FROM THE FUEL TANK ON A TRACTOR TRAILER TRUCK.

CALLER STATED THE SRP ACCIDENTALLY PUT GASOLINE INTO THE DIESEL FUEL TANK AND REMOVED A PLUG FROM THE BOTTOM OF THE TANK TO DRAIN OUT THE GASOLINE.",MOBILE,OPERATOR ERROR,1/14/2020 18:10,OCCURRED,PILOT TRUCK STOP,604 US 277 SOUTH,,,SONORA,TX,SUTTON,,,,,,,,,,,,,,,,N,2020-01-14 20:38:00,2020-01-14 20:50:00,INC,TUN,PRIVATE ENTERPRISE,ORLANDO,FL,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ASPHALT,,,,Y,,,NO CLEAN UP ACTIONS AT THIS TIME. THE STATION WAS BLOCKED OFF TO KEEP PEOPLE OUT.,PD,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
780,1268726,THE CALLER IS REPORTING 1 GALLON OF HYDRAULIC OIL WAS DISCHARGED ONTO THE VESSEL DECK (1 CUP REACHING THE DUWAMISH WATERWAY) FROM A  TUG BOAT DUE TO A THREADED PLUG COMING LOOSE.,VESSEL,EQUIPMENT FAILURE,1/14/2020 17:15,OCCURRED,HARPER ISLAND,PIER 18,,,SEATTLE,WA,KING,,,,,,,,,,,,,,,,N,2020-01-14 20:56:00,2020-01-14 21:09:00,INC,HARLEY MARINE SERVICES,PRIVATE ENTERPRISE,SEATTLE,WA,98134.0,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,DUWAMISH WATERWAY,DUWAMISH WATERWAY,ELLIOT BAY,,Y,,,"CONTRACTOR ONSIGHT, BOOM AND ABSORBANTS DEPLOYED. DECK OF TUG HAS BEEN CLEANED.",,,,CLEAR,,,,U,,,,,0     CALM,,,,,,,,,,,,,,,,,,,,100.0,FEET,60.0,FEET,N,,,,NO,,,,,,POINT (nan nan),
781,1268727,CALLER IS REPORTING THAT A TRAIN STRUCK A PERSON ON THE TRACKS RESULTING IN A FATALITY.,RAILROAD NON-RELEASE,TRESPASSER,1/14/2020 19:45,OCCURRED,,SOUTH OF MONCEAUX RD,,,WEST PALM BEACH,FL,PALM BEACH,,,,,,,,,,,,,,,,N,2020-01-14 21:17:00,2020-01-14 21:23:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,N,,301.1,,,Y,,N,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,N,,,U,U,,,,,,,,,,NO,,,,,,,,,,,PASSENGERS WILL STAY ONBOARD THE TRAIN.,YES,YES,N,U,N,,,,N,,,Y,1.0,N,,N,,,N,,,N,,,,N,Y,DOUBLE MAIN,1.5,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,INVESTIGATION UNDERWAY BY PALM BEACH COUNTY,PALM BEACH COUNTY SHERIFF,,,CLEAR,,,,U,,,,,,,,,S,,,,,,,,,,,,,PALM BEACH COUNTY SHERIFF,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
782,1268729,CALLER IS REPORTING THAT A TRAIN STRUCK A PERSON ON THE TRACKS AT A CROSSING RESULTING IN A FATALITY.,RAILROAD NON-RELEASE,TRESPASSER,1/14/2020 18:28,OCCURRED,NE 11TH AVE AND LOMBARD ST,,,,PORTLAND,OR,MULTNOMAH,,,,,,,,,,,,,,,,N,2020-01-14 21:31:00,2020-01-14 21:39:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,Y,KENTON LINE,8.76,NONE,GATES,U,808428V,N,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,N,,,U,U,,,,,,,,,,UNK,,,,,,,,,,,,NO,NO,N,U,N,,,,N,,,Y,1.0,N,,N,,,N,,,Y,11TH AVE,1.0,N/S,N,Y,DOUBLE MAIN,1.0,UNKNOWN,RAIL REPORT (N/A),,,,,U,,,INVESTIGATION UNDERWAY BY PORTLAND PD.,"PD, EMS",PP-2015597,,,,,,U,,,,,,,,,E/W,,,,,,,,,,,,OREGON OFFICE OF EMERGENCY MANAGEMENT #2020-0109. UNION PACIFIC REPORT #2020-01-14-182KML.,"PD,  OEM, STATE POLICE",,,,,,,N,,,,NO,,,,,NE 11TH AVE AND LOMBARD ST,POINT (nan nan),
783,1268730,"CALLER STATED HYDROCHLORIC ACID RELEASED FROM A STORAGE TANK ONTO THE GROUND, SOIL AND AIR AT THE INCIDENT LOCATION, DUE TO A TANK MALFUNCTION. CALLER STATED THEY EVACUATED 20 EMPLOYEES TO INCLUDE 2 CONTRACTORS. NO INJURIES WERE REPORTED.",STORAGE TANK,EQUIPMENT FAILURE,1/14/2020 17:20,OCCURRED,,701 S. HANCOCK AVE,,,FREEPORT,IL,STEPHENSON,61032.0,,,,,,,,,,,,,,,N,2020-01-14 21:35:00,2020-01-14 21:44:00,INC,MODERN PLATING,PRIVATE ENTERPRISE,FREEPORT,IL,61032.0,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,STORAGE TANK,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,Y,20.0,EVERYONE,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,SOIL,"GROUND, AIR",,,,Y,,,"LOCAL HAZMAT TEAM, POLICE AND FIRE RESPONDED, CLEAN UP IS STILL UNDERWAY.",PD/FD,H2020-0033,,,,,,U,,,,,,,,,,,,,,,,,,,,,,IL EMA,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
784,1268731,CALLER IS REPORTING THAT 30 - 50 BATTERIES FELL ONTO THE ROAD SURFACE FROM AN UNKNOWN VEHICLE. SOME OF THE BATTERIES BROKE AND SPILLED ACID ONTO THE GROUND. PIECES OF THE BATTERIES HAVE BEEN CLEANED UP BUT NOT THE ACID.,MOBILE,UNKNOWN,1/14/2020 16:30,DISCOVERED,,MILE 183 PARKS HWY,,,CANTWELL,AK,DENALI,,,,,,,,,,,,,,,,N,2020-01-14 22:03:00,2020-01-14 22:10:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,183.0,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,ROAD SURFACE,,,,U,,,THE BATTERY DEBRIS WERE REMOVED.,AK DOT,,,SUNNY,-15.0,,,U,,,,,,,,,,,,,,,,,,,,,,"AK DEC, AK DOT",,,,,,,N,,,,NO,,,,,,POINT (nan nan),
785,1268732,"CALLER STATED DUE TO A THIRD PARTY SHUT IN, CARBON MONOXIDE AND OXIDES OF NITROGEN WERE RELEASED FROM THE FLARE STACK TO THE AIR.",FIXED,OTHER,1/13/2020 17:00,OCCURRED,,38003 FARM ROAD 1379,,,MIDLAND,TX,MIDLAND,,,,,,,,,,,,,,,,N,2020-01-14 22:14:00,2020-01-14 22:21:00,INC,TARGA PIPELINE MIDCONTINENT LLC,PRIVATE ENTERPRISE,MIDLAND,TX,,TELEPHONE,,,,,,,,,,,,,OTHER,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,"STAYED IN CONTACT WITH GAS CONTROL, PUT UNITS BACK ON LINE. RELEASE WAS SECURED AT 1530 TODAY (14JAN20).",,328220,,,,,,U,,,,,,,,,,,,,,,,,,,,,,STEERS,,,,,,,N,,,,NO,,,,,38003 FARM ROAD 1379,POINT (nan nan),
786,1268733,CALLER IS REPORTING THAT THE REFINERIES IN THE AREA ARE RELEASING UNKNOWN CHEMICALS INTO THE AIR CAUSING HEALTH PROBLEMS FOR PEOPLE WHO LIVE IN THE AREA.,FIXED,OTHER,1/14/2020 16:00,OCCURRED,,OIL REFINERIES,,,HERCULES,CA,CONTRA COSTA,,,,,,,,,,,,,,,,N,2020-01-14 22:21:00,2020-01-14 22:26:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,REFINERY,N,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,U,,,,,,,CLEAR,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
787,1268734,CALLER STATED DRIVER WAS FUELING HIS VEHICLE WHEN THE NOZZLE FROM THE PUMP CAME OUT AND RELEASED 1.5 CUPS OF DIESEL FUEL ONTO THE GROUND.,FIXED,EQUIPMENT FAILURE,1/14/2020 17:12,OCCURRED,FUEL ISLAND,546 WOODALL ROAD,,,GRANDVIEW,WA,YAKIMA,98930.0,,,,,,,,,,,,,,,N,2020-01-14 22:27:00,2020-01-14 22:32:00,INC,FAIRCHILD TRANSPORTATION,PRIVATE ENTERPRISE,GRANDVIEW,WA,98930.0,TELEPHONE,,,,,,,,,,,,,WAREHOUSE,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,LAND,GROUND,,,,Y,,,"COMPANY USED SPILL MAGIC AND ABSORBANT PADS ON THE SPILL, CLEAN UP IS COMPLETED.",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
788,1268735,CALLER IS REPORTING THAT THERE WAS A RELEASE OF AN UNKNOWN AMOUNT OF  HYDROGEN CYANIDE TO THE AIR DUE TO A FAULT WITH A VALVE.,FIXED,EQUIPMENT FAILURE,1/14/2020 15:00,OCCURRED,,3055A FM 1006,,,ORANGE,TX,ORANGE,77631.0,,,,,,,,,,,,,,,N,2020-01-14 22:37:00,2020-01-14 22:40:00,INC,INVISTA,PRIVATE ENTERPRISE,ORANGE,TX,77631.0,TELEPHONE,,,,,,,,,,,,,CHEMICAL FACILITY,N,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE,,,,Y,,,ISOLATION VALVE WAS CLOSED TO SECURE THE RELEASE.,,,,CLEAR,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
789,1268736,"CALLER STATED ANHYDROUS AMMONIA RELEASED FROM AN AMMONIA COMPRESSOR IN THE GROUND BEEF ENGINE ROOM AT THE INCIDENT LOCATION, DUE TO AN EQUIPMENT FAILURE.",FIXED,EQUIPMENT FAILURE,1/13/2020 22:17,OCCURRED,,5000 NORTH FM 1912,,,AMARILLO,TX,POTTER,79511.0,,,,,,,,,,,,,,,N,2020-01-14 23:47:00,2020-01-14 23:53:00,INC,TYSON FRESH MEATS,PRIVATE ENTERPRISE,AMARILLO,TX,79511.0,TELEPHONE,,,,,,,,,,,,,FOOD PROCESSING PLANT,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,AIR,ATMOSPHERE - NO OFFSITE IMPACT,,,,Y,,,"COMPRESSOR WAS SHUT DOWN AND ISOLATED, PUMP OUT SYSTEM WAS ENGAGED TO CLEAR THE SYSTEMS.",,20200139,,,,,,U,,,,,,,,,,,,,,,,,,,,,,"TCEQ, LEPC",,,,,,,N,,,,NO,,,,,,POINT (nan nan),
790,1268737,CALLER IS REPORTING THAT A BOAT HAS CAPSIZED AND IS ON A JETTY. THERE IS A POTENTIAL FOR A SPILL OF DIESEL FUEL TO THE WATER. NO SPILLS OR SHEENS OBSERVED AT THIS TIME.,VESSEL,OTHER,1/14/2020 17:38,OCCURRED,,COOS BAY NORTH JETTY,,,COOS BAY,OR,COOS,,,,,43.0,21.0,30.0,N,124.0,20.0,44.0,W,,,,Y,2020-01-15 00:11:00,2020-01-15 00:18:00,INC,,PRIVATE ENTERPRISE,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,NON-RELEASE (N/A),PACIFIC OCEAN,,,,U,,,,COOS COUNTY,,,OVERCAST,,3.0,S,U,,,,,,,,,,,,,KNTS,,,,,,,,,COOS COUNTY,USCG,,,,,,N,,,,NO,43.358333333333334,-124.34555555555555,N,W,,POINT (-124.3455555555555 43.35833333333333),
791,1268738,"CALLER STATED 4 GALLONS OF CRUDE OIL RELEASED FROM A VALVE ON A PIPELINE AT THE INCIDENT LOCATION INTO CONTAINMENT, DUE TO AN EQUIPMENT MALFUNCTION (SUSPECTED SEAL FAILURE).",PIPELINE,EQUIPMENT FAILURE,1/14/2020 15:44,OCCURRED,PUMP STATION,7945 JOHNSON RD,,,SALCHA,AK,FAIRBANKS NORTH STAR,99714.0,,,,,,,,,,,,,,,N,2020-01-15 01:59:00,2020-01-15 02:07:00,INC,ALYESKA PIPELINE SERVICE COMPANY,PRIVATE ENTERPRISE,ANCHORAGE,AK,99508.0,TELEPHONE,,,,,,,,,,,,,,U,,,,U,TRANSFER,Y,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,,,,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,OTHER,INSIDE OF CONTAINMENT,,,,Y,,,"LEAK WAS SECURED, SPILL WAS CLEANED UP, REPACKED THE VALVE STEM",,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,NO,,,,,,POINT (nan nan),
792,1268740,CALLER REPORTED AN UNKNOWN SHEEN IN THE GULF OF MEXICO DUE TO AN UNKNOWN CAUSE.,UNKNOWN SHEEN,UNKNOWN,1/15/2020 7:20,DISCOVERED,"UNKNOWN SHEEN INCIDENT/ LAT/LONG: 27 19 16.46 N, 90 32 07.72 W",,,,,LA,GREEN CANYON AREA,,,,,,,,,,,,,,,,N,2020-01-15 09:00:00,2020-01-15 09:03:00,INC,,UNKNOWN,,XX,,TELEPHONE,,,,,,,,,,,,,,U,,,,U,,U,ABOVE,N,U,,U,,,,,U,,U,,ABOVE,U,U,,,,,,,,,GREEN CANYON AREA,645,11081,,,,,,,,U,,,U,U,,,,,,,,,,XXX,,,,,,,,,,,,XXX,XXX,N,U,N,,,,N,,,N,,N,,N,,,N,,,N,,,,N,N,,,UNKNOWN,WATER,GULF OF MEXICO,GULF OF MEXICO,,,U,,,,,,,SUNNY,,,E,U,,RAINBOW,,,3     MODERATE (3 - 5 FT),,W,,,,,,,,,,,,,,,,,,6.0,MILES,2.0,MILES,Y,,,,NO,,,,,,POINT (nan nan),
